Read  speed:  4234 kB/s (CD  24x, DVD  3x).
Write speed:  4234 kB/s (CD  24x, DVD  3x).
Capacity: 213504 Blocks = 427008 kBytes = 417 MBytes = 437 prMB
Sectorsize: 2048 Bytes
Errno: 5 (Input/output error), mode select g1 scsi sendcmd: no error
CDB:  55 10 00 00 00 00 00 00 14 00
status: 0x2 (CHECK CONDITION)
Sense Bytes: 70 00 05 00 00 00 00 0A 18 00 00 00 26 00 00 00
Sense Key: 0x5 Illegal Request, Segment 0
Sense Code: 0x26 Qual 0x00 (invalid field in parameter list) Fru 0x0
Sense flags: Blk 0 (not valid) 
cmd finished after 0.029s timeout 40s
Copy from SCSI (2,0,0) disk to file '/dev/null'
end:    213504
addr:        0 cnt: 49
addr:       49 cnt: 49
addr:       98 cnt: 49
addr:      147 cnt: 49
addr:      196 cnt: 49
addr:      245 cnt: 49
addr:      294 cnt: 49
addr:      343 cnt: 49
addr:      392 cnt: 49
addr:      441 cnt: 49
addr:      490 cnt: 49
addr:      539 cnt: 49
addr:      588 cnt: 49
addr:      637 cnt: 49
addr:      686 cnt: 49
addr:      735 cnt: 49
addr:      784 cnt: 49
addr:      833 cnt: 49
addr:      882 cnt: 49
addr:      931 cnt: 49
addr:      980 cnt: 49
addr:     1029 cnt: 49
addr:     1078 cnt: 49
addr:     1127 cnt: 49
addr:     1176 cnt: 49
addr:     1225 cnt: 49
addr:     1274 cnt: 49
addr:     1323 cnt: 49
addr:     1372 cnt: 49
addr:     1421 cnt: 49
addr:     1470 cnt: 49
addr:     1519 cnt: 49
addr:     1568 cnt: 49
addr:     1617 cnt: 49
addr:     1666 cnt: 49
addr:     1715 cnt: 49
addr:     1764 cnt: 49
addr:     1813 cnt: 49
addr:     1862 cnt: 49
addr:     1911 cnt: 49
addr:     1960 cnt: 49
addr:     2009 cnt: 49
addr:     2058 cnt: 49
addr:     2107 cnt: 49
addr:     2156 cnt: 49
addr:     2205 cnt: 49
addr:     2254 cnt: 49
addr:     2303 cnt: 49
addr:     2352 cnt: 49
addr:     2401 cnt: 49
addr:     2450 cnt: 49
addr:     2499 cnt: 49
addr:     2548 cnt: 49
addr:     2597 cnt: 49
addr:     2646 cnt: 49
addr:     2695 cnt: 49
addr:     2744 cnt: 49
addr:     2793 cnt: 49
addr:     2842 cnt: 49
addr:     2891 cnt: 49
addr:     2940 cnt: 49
addr:     2989 cnt: 49
addr:     3038 cnt: 49
addr:     3087 cnt: 49
addr:     3136 cnt: 49
addr:     3185 cnt: 49
addr:     3234 cnt: 49
addr:     3283 cnt: 49
addr:     3332 cnt: 49
addr:     3381 cnt: 49
addr:     3430 cnt: 49
addr:     3479 cnt: 49
addr:     3528 cnt: 49
addr:     3577 cnt: 49
addr:     3626 cnt: 49
addr:     3675 cnt: 49
addr:     3724 cnt: 49
addr:     3773 cnt: 49
addr:     3822 cnt: 49
addr:     3871 cnt: 49
addr:     3920 cnt: 49
addr:     3969 cnt: 49
addr:     4018 cnt: 49
addr:     4067 cnt: 49
addr:     4116 cnt: 49
addr:     4165 cnt: 49
addr:     4214 cnt: 49
addr:     4263 cnt: 49
addr:     4312 cnt: 49
addr:     4361 cnt: 49
addr:     4410 cnt: 49
addr:     4459 cnt: 49
addr:     4508 cnt: 49
addr:     4557 cnt: 49
addr:     4606 cnt: 49
addr:     4655 cnt: 49
addr:     4704 cnt: 49
addr:     4753 cnt: 49
addr:     4802 cnt: 49
addr:     4851 cnt: 49
addr:     4900 cnt: 49
addr:     4949 cnt: 49
